sector_comprador,tipo_licitacion,tamano_proveedor,macrozona,anio,mes,monto_estimado,cantidad_adjudicada,n_oferentes,dias_cierre,extension_plazo,toma_razon,target
Servicio de Salud,LE,Mediana,Sur,2024,9,88596800.0,238,9,8,0,0,517000.0
Gobierno Regional,LQ,Pequena,Centro,2023,10,668393706.0,1205,5,24,0,1,478000.0
Municipalidad,LP,Pequena,Centro Sur,2024,9,31978846.0,57,5,20,0,0,566000.0
Municipalidad,L1,Mediana,Centro,2022,7,51265388.0,72,5,8,0,0,548000.0
Ministerio,LP,Micro,Centro Sur,2023,3,107571282.0,206,7,17,0,0,523000.0
Municipalidad,LP,Grande,Centro Sur,2023,8,92211339.0,307,4,11,0,0,572000.0
Ministerio,LE,Pequena,Sur,2024,12,46325538.0,107,1,9,1,0,663000.0
Municipalidad,L1,Pequena,Centro,2023,5,41165659.0,66,11,6,0,0,617000.0
Municipalidad,LP,Pequena,Centro Sur,2022,1,219843467.0,481,4,11,0,0,531000.0
Gobierno Regional,L1,Pequena,Centro,2024,1,63047237.0,70,3,4,0,0,554000.0
Universidad Estatal,L1,Grande,Centro Sur,2023,7,12470270.0,22,1,8,0,0,653000.0
Ministerio,L1,Mediana,Norte Chico,2024,10,21497524.0,35,6,8,0,0,596000.0
Municipalidad,LP,Pequena,Centro Sur,2023,3,92211339.0,209,7,17,0,0,608000.0
Municipalidad,L1,Mediana,Centro,2023,1,13945280.0,17,5,10,0,0,552000.0
Municipalidad,L1,Pequena,Sur,2024,12,4133534.0,6,6,6,0,0,628000.0
Gobierno Regional,L1,Pequena,Centro,2024,7,80163294.0,70,5,4,0,0,586000.0
Universidad Estatal,LE,Mediana,Norte Grande,2024,11,41785648.0,75,6,11,0,0,581000.0
Servicio de Salud,LQ,Grande,Centro,2023,6,826777888.0,1576,4,17,0,1,459000.0
Municipalidad,LE,Pequena,Norte Grande,2022,11,92211339.0,143,3,11,0,0,689000.0
Servicio de Salud,LP,Micro,Centro,2023,12,286618842.0,720,4,22,0,0,478000.0
Municipalidad,LQ,Mediana,Centro Sur,2021,8,559277919.0,771,4,25,0,0,520000.0
Servicio de Salud,LP,Mediana,Centro,2022,4,209090331.0,352,4,24,0,0,513000.0
Municipalidad,L1,Mediana,Centro Sur,2022,12,21055604.0,42,1,4,1,0,682000.0
Municipalidad,LE,Pequena,Centro,2022,10,92153809.0,130,4,11,0,0,651000.0
Servicio de Salud,LE,Pequena,Centro,2023,9,40705405.0,56,4,4,0,0,539000.0
Servicio de Salud,LE,Mediana,Norte Chico,2021,9,146668202.0,245,5,10,0,0,567000.0
Municipalidad,LQ,Pequena,Centro,2022,4,482500806.0,808,6,23,0,1,578000.0
Municipalidad,LQ,Grande,Centro,2022,11,807726779.0,1410,2,27,1,1,532000.0
Municipalidad,L1,Pequena,Centro Sur,2021,4,6156900.0,15,3,4,0,0,644000.0
Servicio de Salud,LE,Pequena,Centro,2021,7,48994916.0,105,6,19,0,0,526000.0
Municipalidad,L1,Pequena,Sur,2024,8,17702493.0,27,3,7,0,0,776000.0
